id_solicitud,fecha_solicitud,sucursal,tipo_credito,monto_solicitado,plazo_meses,ingresos_mensuales,antiguedad_laboral,nivel_educativo,estado_civil,numero_dependientes,tiene_otros_creditos,resultado
SOL-02907,2025-03-22,Bogota,Vehiculo,45700000,36,3350000,5,BACHILLER,casado,2,si,aprobado
SOL-02220,2024-04-21,Bucaramanga,Educacion,8000000,36,3270000,3,Tecnico,Union libre,2,No,Rechazado
SOL-02125,2024-04-13,barranquilla,Libre inversion,19600000,36,4270000,11,Profesional,Soltero,2,1,Rechazado
SOL-00604,02/07/2024,CARTAGENA,Libre inversion,20400000,36,4560000,6,Bachiller,Union libre,3,Si,rechazado
SOL-00563,2025-05-07,cartagena,Libre inversion,23800000,36,5.820.000,1,Posgrado,Divorciado,N/A,0,Aprobado
SOL-02269,04/12/2024,cali,Educacion,6800000,24,2650000,1,Tecnico,Union libre,N/A,No,Aprobado
SOL-01403,2025-04-29,Bucaramanga,Educacion,12600000,24,2040000,1,tecnico,Soltero,0,No,Aprobado
SOL-02068,2024-12-29,MEDELLIN,Vehiculo,36800000,24,4190000,6,Bachiller,Union libre,0,No,Aprobado
SOL-00733,15/11/2024,Bogotá D.C.,Vivienda,179200000,60,2350000,3,TECNICO,Soltero,2,No,Aprobado
SOL-00728,2025-03-04,medellin,Educacion,17300000,36,6200000,1,posgrado,divorciado,3,Si,aprobado
SOL-00771,2024-08-29,Cali,Educacion,4900000,36,$ 2500000,4,Profesional,SOLTERO,2,Si,En estudio
SOL-02206,2024-07-04,Bogota,Libre inversion,15100000,36,1890000,8,Tecnico,Soltero,0,No,Aprobado
SOL-00562,2025-02-17,Bogota,Vivienda,235400000,240,6350000,3,Tecnico,Soltero,1,No,En estudio
SOL-02166,27/10/2024,Medellin,Vivienda,206400000,120,5430000,1,Profesional,union libre,3,Si,en estudio
SOL-00415,11/08/2024,BOGOTA,Vivienda,139300000,120,13760000,9,Tecnico,Casado,2,Si,Rechazado
SOL-01797,2024-06-21,PEREIRA,Vivienda,164000000,120,10.980.000,15,PROFESIONAL,Soltero,1,Si,Rechazado
SOL-00641,2024-07-19,Medellin,Vehiculo,35700000,60,1970000,1,Tecnico,Union libre,0,Si,En estudio
SOL-02926,2025-02-01,Barranquilla,Educacion,16000000,36,2360000,4,Bachiller,Soltero,0,Si,Aprobado
SOL-01996,2024-05-06,MEDELLIN,Educacion,12500000,12,$4.780.000,3,Profesional,DIVORCIADO,1,no,aprobado
